viewer_id,movie_id,rating,review_date,sentiment_score
V004929,M0087,2,2025-03-16,-0.347
V002401,M0096,3,2024-09-05,0.29
V000695,M0012,4,2025-04-09,0.521
V004710,M0072,3,2024-09-07,-0.048
V000015,M0088,4,2024-08-22,0.358
V004962,M0053,2,2025-11-15,-0.537
V003850,M0021,3,2025-03-02,0.106
V003840,M0051,5,2025-01-12,0.43
V000966,M0049,5,2025-09-27,0.318
V003028,M0070,4,2025-03-23,0.226
V001358,M0086,5,2025-10-04,0.591
V004783,M0082,1,2024-08-31,-0.878
V000495,M0025,4,2025-03-26,0.038
V003534,M0016,1,2025-10-27,-0.776
V001378,M0013,4,2024-08-15,0.371
V001556,M0017,2,2025-11-06,-0.016
V002774,M0065,3,2024-10-03,-0.088
V001005,M0036,4,2025-02-15,0.156
V004075,M0094,2,2024-08-04,-0.563
V001334,M0020,3,2024-12-05,-0.184
V004132,M0019,2,2024-09-12,-0.321
V004589,M0032,2,2025-11-13,-0.464
V003123,M0043,3,2024-12-24,-0.097
V003571,M0028,2,2025-08-16,-0.005
V004627,M0088,5,2024-07-24,0.439
V000761,M0057,5,2024-12-07,0.417
V000989,M0016,2,2025-01-14,-0.192
V003943,M0056,1,2024-07-10,-0.457
V003752,M0001,4,2025-07-21,0.161
V004283,M0064,4,2024-06-23,0.132
V002616,M0086,1,2024-06-29,-0.53
V004634,M0088,4,2025-11-03,0.107
V001173,M0007,5,2025-04-24,0.761
V000784,M0063,1,2025-09-03,-0.699
V003337,M0067,5,2025-05-06,0.597
V002511,M0089,3,2025-09-03,-0.279
V004541,M0077,1,2024-11-12,-0.485
V003941,M0078,3,2024-10-05,0.282
V002049,M0007,5,2025-09-26,0.348
V000359,M0036,3,2024-07-28,-0.073
V004168,M0052,4,2024-11-09,0.136
V002786,M0084,3,2025-11-21,0.159
V000878,M0028,2,2025-11-20,-0.17
V001070,M0009,1,2024-11-01,-0.816
V004203,M0048,1,2024-09-20,-0.483
V002439,M0067,4,2025-09-27,0.084
V003389,M0074,5,2024-07-16,0.669
V003050,M0069,5,2025-09-12,0.368
V002740,M0084,3,2025-03-20,-0.291
V004810,M0061,5,2024-11-06,0.383
V002725,M0063,1,2025-10-23,-0.868
V001009,M0075,3,2025-06-07,-0.144
V001982,M0017,3,2024-11-19,-0.269
V002040,M0020,5,2025-03-22,0.597
V000560,M0072,2,2024-12-04,-0.124
V001891,M0014,5,2024-06-12,0.32
V004164,M0056,1,2024-10-03,-0.613
V004212,M0023,5,2025-04-24,0.88
V000974,M0085,1,2025-05-04,-0.868
V001224,M0017,2,2025-09-16,-0.491
V004679,M0043,1,2025-08-08,-0.612
V004491,M0094,3,2024-11-18,-0.131
V001969,M0054,4,2024-09-20,0.393
V001265,M0010,3,2025-03-20,0.119
V003074,M0031,4,2024-08-03,0.09
V002743,M0083,2,2024-09-18,-0.448
V004762,M0009,4,2025-08-09,0.18
V004799,M0013,1,2024-10-06,-0.437
V004375,M0019,4,2024-07-02,0.273
V003152,M0089,5,2025-08-21,0.807
V004389,M0010,5,2024-08-25,0.726
V000178,M0029,5,2024-11-19,0.498
V004632,M0063,3,2024-07-27,0.273
V001313,M0072,3,2025-01-22,0.229
V004376,M0063,3,2024-10-06,0.086
V004523,M0019,4,2025-03-26,0.116
V004136,M0035,4,2024-08-07,0.332
V001996,M0045,2,2024-11-13,-0.227
V000948,M0042,3,2024-10-10,0.185
V000641,M0036,4,2025-08-23,0.253
V000890,M0042,5,2025-06-03,0.888
V002794,M0021,2,2024-11-06,-0.422
V002689,M0069,4,2025-09-03,0.079
V000620,M0033,4,2025-02-05,0.125
V004616,M0083,5,2024-08-02,0.611
V004635,M0060,1,2025-05-31,-0.762
V003833,M0085,5,2024-12-24,0.422
V001173,M0064,5,2024-08-16,0.633
V000328,M0043,2,2025-11-05,-0.051
V003141,M0036,4,2025-04-08,0.381
V001423,M0054,4,2025-03-03,0.018
V002422,M0065,5,2024-08-19,0.43
V004776,M0033,2,2025-06-14,-0.448
V003342,M0062,2,2025-03-05,-0.211
V003995,M0023,2,2025-02-25,-0.596
V002034,M0076,3,2024-11-29,-0.233
V003711,M0002,5,2025-08-16,0.47
V001439,M0091,2,2025-10-28,-0.02
V001325,M0099,2,2024-12-29,-0.403
V000754,M0068,4,2025-06-07,0.04
V003030,M0031,1,2025-01-06,-0.516
V000457,M0073,3,2025-04-02,-0.221
V001700,M0031,1,2025-10-10,-0.689
V001339,M0050,3,2024-09-18,-0.137
V004253,M0042,4,2025-10-15,0.264
V002697,M0031,3,2025-11-17,-0.031
V000424,M0042,4,2024-06-11,0.117
V000214,M0067,3,2025-07-22,0.083
V004595,M0040,5,2025-03-20,0.381
V001114,M0001,5,2025-04-28,0.414
V001664,M0050,3,2025-08-21,0.195
V003149,M0011,1,2024-10-30,-0.807
V004143,M0041,1,2024-08-31,-0.626
V003979,M0065,4,2024-07-01,0.495
V002328,M0001,5,2025-03-07,0.855
V002175,M0011,1,2025-04-03,-0.415
V003599,M0052,2,2024-10-25,-0.391
V002551,M0006,2,2025-09-04,-0.15
V004748,M0068,4,2024-08-25,0.586
