viewer_id,age_band,country,city,subscription_tier,signup_date
V000001,55+,Mexico,Mexico City,Standard,2023-06-01
V000002,45-54,Mexico,Mexico City,Free,2024-09-29
V000003,55+,Japan,Tokyo,Premium,2025-03-12
V000004,55+,India,Delhi,Premium,2023-02-21
V000005,25-34,India,Bangalore,Standard,2024-11-10
V000006,25-34,Mexico,Mexico City,Free,2023-05-20
V000007,18-24,UK,London,Standard,2024-04-12
V000008,45-54,Brazil,Sao Paulo,Standard,2025-12-11
V000009,55+,South Korea,Seoul,Premium,2025-09-16
V000010,35-44,Germany,Berlin,Standard,2022-09-11
V000011,25-34,USA,New York,Premium,2024-01-08
V000012,35-44,France,Paris,Free,2023-06-07
V000013,18-24,USA,Chicago,Standard,2022-05-05
V000014,55+,Germany,Berlin,Standard,2025-05-29
V000015,55+,India,Mumbai,Free,2024-11-15
V000016,18-24,India,Bangalore,Free,2023-05-17
V000017,25-34,Mexico,Mexico City,Standard,2025-04-16
V000018,25-34,France,Paris,Standard,2024-07-13
V000019,18-24,France,Paris,Standard,2024-01-14
V000020,35-44,France,Paris,Premium,2022-05-14
V000021,35-44,USA,New York,Standard,2022-08-17
V000022,25-34,USA,Los Angeles,Premium,2025-11-09
V000023,25-34,USA,Los Angeles,Premium,2025-12-09
V000024,18-24,India,Delhi,Standard,2024-07-04
V000025,55+,France,Paris,Free,2025-08-30
V000026,35-44,USA,New York,Standard,2024-08-27
V000027,45-54,USA,Chicago,Premium,2022-12-02
V000028,25-34,USA,Chicago,Standard,2022-11-02
V000029,35-44,Germany,Berlin,Standard,2023-07-24
V000030,35-44,Brazil,Sao Paulo,Free,2025-12-02
V000031,35-44,Mexico,Mexico City,Premium,2025-07-05
V000032,55+,India,Delhi,Standard,2025-10-07
V000033,45-54,India,Delhi,Premium,2025-12-02
V000034,25-34,India,Bangalore,Standard,2023-03-02
V000035,25-34,South Korea,Seoul,Premium,2023-04-29
V000036,25-34,Mexico,Mexico City,Standard,2022-09-27
V000037,18-24,Mexico,Mexico City,Standard,2025-06-11
V000038,25-34,Mexico,Mexico City,Free,2025-11-10
V000039,18-24,Brazil,Sao Paulo,Premium,2023-12-14
V000040,35-44,India,Bangalore,Standard,2024-10-22
V000041,35-44,UK,London,Standard,2022-12-11
V000042,45-54,South Korea,Seoul,Standard,2026-01-16
V000043,25-34,Mexico,Mexico City,Standard,2025-10-13
V000044,18-24,UK,London,Standard,2026-03-25
V000045,55+,Brazil,Sao Paulo,Free,2025-07-26
V000046,25-34,USA,Chicago,Standard,2025-11-06
V000047,25-34,India,Delhi,Standard,2022-06-05
V000048,25-34,Mexico,Mexico City,Standard,2025-04-09
V000049,55+,India,Bangalore,Standard,2023-08-27
V000050,55+,India,Bangalore,Premium,2026-01-17
V000051,18-24,UK,London,Premium,2025-07-14
V000052,45-54,USA,Chicago,Standard,2025-10-12
V000053,45-54,Japan,Tokyo,Premium,2025-07-26
V000054,18-24,USA,Los Angeles,Premium,2023-05-24
V000055,45-54,UK,London,Premium,2025-06-22
V000056,25-34,USA,New York,Premium,2022-10-04
V000057,25-34,USA,Chicago,Premium,2025-10-24
V000058,25-34,USA,New York,Standard,2025-10-04
V000059,25-34,UK,London,Premium,2023-03-20
V000060,25-34,Brazil,Sao Paulo,Standard,2025-08-04
V000061,35-44,UK,London,Premium,2024-03-02
V000062,55+,USA,Chicago,Standard,2023-07-19
V000063,25-34,USA,Los Angeles,Premium,2025-07-04
V000064,18-24,USA,Los Angeles,Standard,2023-03-28
V000065,35-44,USA,Chicago,Standard,2022-06-03
V000066,55+,France,Paris,Standard,2023-02-05
V000067,25-34,France,Paris,Free,2023-08-22
V000068,18-24,UK,London,Premium,2025-10-12
V000069,35-44,Germany,Berlin,Premium,2026-03-11
V000070,35-44,South Korea,Seoul,Standard,2023-06-11
V000071,55+,India,Delhi,Premium,2024-11-21
V000072,25-34,France,Paris,Premium,2023-12-04
V000073,45-54,South Korea,Seoul,Standard,2026-04-01
V000074,25-34,Japan,Tokyo,Standard,2024-06-20
V000075,35-44,USA,Los Angeles,Standard,2026-01-30
V000076,55+,Japan,Tokyo,Premium,2022-10-15
V000077,35-44,India,Bangalore,Standard,2026-03-16
V000078,45-54,Germany,Berlin,Standard,2023-01-15
V000079,25-34,USA,New York,Standard,2026-03-05
V000080,25-34,Japan,Tokyo,Standard,2023-05-22
V000081,25-34,Japan,Tokyo,Standard,2022-10-05
V000082,35-44,Brazil,Sao Paulo,Standard,2024-01-24
V000083,35-44,USA,Los Angeles,Standard,2025-03-28
