viewer_id,movie_id,watch_date,minutes_watched,completed,device
V004193,M0043,2024-10-11,53,False,Mobile
V003175,M0003,2025-08-13,73,False,Web
V004672,M0013,2025-01-29,83,True,Web
V004860,M0057,2025-01-24,53,False,Mobile
V001883,M0042,2025-03-17,45,False,Mobile
V000102,M0020,2025-04-23,65,False,TV
V004093,M0014,2024-10-29,128,False,Tablet
V004931,M0026,2025-06-14,83,True,Tablet
V004889,M0036,2025-02-11,111,False,Web
V000879,M0005,2025-11-30,88,True,Mobile
V000092,M0055,2025-02-23,79,True,TV
V003125,M0029,2025-06-20,50,False,TV
V001563,M0014,2024-09-23,130,False,TV
V002294,M0005,2024-09-29,77,False,TV
V000287,M0050,2025-07-31,66,False,TV
V001677,M0030,2025-07-30,93,True,Mobile
V003904,M0057,2025-06-05,33,False,Mobile
V001924,M0047,2024-08-21,137,True,TV
V000185,M0018,2024-07-27,39,False,Web
V000534,M0014,2024-10-19,125,False,Mobile
V004075,M0003,2024-09-14,77,False,Tablet
V000109,M0012,2025-10-16,97,False,TV
V002307,M0046,2024-07-28,63,False,TV
V002228,M0002,2025-05-22,128,True,Tablet
V000016,M0052,2025-10-16,109,True,Tablet
V004003,M0036,2025-04-07,105,False,Mobile
V002983,M0019,2025-09-01,69,False,Tablet
V003871,M0053,2025-06-16,85,False,TV
V004514,M0047,2025-07-04,90,False,TV
V001426,M0027,2024-10-15,75,False,TV
V002396,M0050,2025-07-02,100,False,Tablet
V004443,M0044,2024-10-09,92,False,Tablet
V004933,M0006,2025-03-16,81,False,TV
V002939,M0060,2024-08-10,102,False,Web
V000351,M0057,2024-12-14,111,False,Web
V002799,M0039,2025-06-20,85,True,Web
V001687,M0053,2024-10-21,62,False,Tablet
V000917,M0057,2024-07-05,115,False,Mobile
V000034,M0037,2025-03-15,141,True,Web
V001858,M0048,2024-12-23,62,False,TV
V003059,M0047,2024-10-22,107,False,Tablet
V004727,M0015,2024-12-06,116,False,Mobile
V003717,M0015,2025-06-24,122,True,Web
V000005,M0046,2024-07-02,104,False,Tablet
V000592,M0010,2025-01-21,45,False,Tablet
V001715,M0020,2025-08-24,70,False,Web
V000133,M0002,2025-10-30,129,True,Web
V000585,M0012,2025-09-23,69,False,Mobile
V002929,M0028,2024-10-14,45,False,TV
V003177,M0022,2024-11-12,87,False,Tablet
V004831,M0040,2024-07-29,107,False,Mobile
V004026,M0044,2025-10-29,103,False,TV
V002096,M0002,2024-08-03,138,True,Tablet
V004416,M0049,2025-08-22,63,False,TV
V004017,M0044,2025-11-03,93,False,Tablet
V000712,M0049,2024-08-01,54,False,Mobile
V002011,M0006,2025-08-26,57,False,TV
V004945,M0016,2024-08-07,39,False,TV
V003697,M0036,2025-04-23,98,False,Mobile
V001052,M0001,2025-11-02,117,True,Tablet
V004113,M0005,2025-05-29,66,False,Tablet
V004389,M0052,2025-10-12,66,False,Mobile
V004234,M0045,2024-07-16,72,False,Tablet
V001334,M0019,2025-10-21,53,False,TV
V000899,M0028,2025-06-25,60,False,Mobile
V003950,M0013,2024-07-21,52,False,Tablet
V001447,M0050,2024-11-10,50,False,Web
V002786,M0015,2024-07-13,75,False,Tablet
V000952,M0052,2025-08-19,60,False,Web
V004958,M0048,2025-11-06,59,False,TV
V003523,M0051,2025-11-09,88,False,TV
V004453,M0041,2025-08-14,93,False,Mobile
V003575,M0018,2024-09-24,39,False,Mobile
V002930,M0017,2024-08-01,98,False,Web
V001127,M0059,2025-07-30,49,False,Mobile
V001531,M0037,2025-05-13,100,False,TV
V002155,M0036,2024-07-29,58,False,Web
V003386,M0038,2025-08-04,60,False,Web
V001208,M0013,2025-01-27,45,False,Tablet
V003047,M0001,2025-09-30,87,False,Mobile
V004298,M0008,2025-03-03,112,False,Mobile
V001123,M0020,2025-01-07,69,False,Tablet
V001750,M0052,2025-05-21,94,False,Tablet
V001755,M0031,2025-08-21,77,False,Mobile
V001041,M0010,2024-06-26,40,False,Mobile
V004206,M0031,2025-09-17,110,False,Web
V003388,M0041,2024-11-25,136,True,TV
V000489,M0027,2024-09-14,52,False,TV
V003233,M0050,2025-11-02,59,False,TV
V003685,M0026,2025-04-14,74,False,Web
V004175,M0031,2024-10-10,117,False,Web
V004907,M0016,2024-06-15,53,False,Mobile
V004914,M0028,2025-10-30,38,False,Mobile
V001193,M0046,2025-10-21,74,False,Tablet
V003806,M0018,2024-12-16,51,False,TV
V002525,M0059,2024-08-06,81,False,Tablet
V004830,M0049,2025-07-13,66,False,Mobile
V004012,M0045,2024-12-15,101,False,Mobile
V002198,M0017,2025-02-26,139,True,Web
V002656,M0021,2025-03-30,74,False,TV
V001572,M0020,2024-12-22,91,False,Tablet
V002162,M0018,2024-09-22,69,False,Web
V001141,M0050,2025-02-01,59,False,TV
V004447,M0046,2025-01-06,63,False,Tablet
V004261,M0038,2025-06-06,36,False,TV
V002024,M0041,2025-05-04,108,False,TV
V004072,M0012,2024-11-12,68,False,Tablet
V002218,M0046,2024-08-17,86,False,Web
V004965,M0017,2025-09-18,85,False,Tablet
V004512,M0053,2024-10-24,56,False,Web
V002088,M0052,2024-07-12,80,False,TV
V004649,M0033,2024-09-26,51,False,Mobile
V004011,M0028,2025-08-12,41,False,Tablet
V000979,M0021,2025-07-10,52,False,TV
V000447,M0049,2025-10-19,87,True,TV
V004494,M0007,2025-03-01,45,False,Mobile
V003468,M0060,2025-05-05,66,False,Mobile
V000913,M0001,2024-12-20,101,False,TV
V001972,M0028,2025-04-08,31,False,TV
V004528,M0060,2024-12-03,136,True,Web
V004536,M0002,2025-01-10,136,True,Web
V003140,M0052,2025-05-06,86,False,Mobile
V000747,M0011,2025-02-27,108,False,Mobile
V002017,M0007,2024-10-10,50,False,Tablet
V001357,M0040,2025-06-06,129,True,TV
V000026,M0007,2025-03-31,73,False,Tablet
V004913,M0038,2024-10-31,98,False,Web
V000672,M0007,2024-10-08,76,False,Tablet
V003150,M0010,2024-11-06,35,False,TV
V004027,M0014,2024-09-09,135,False,TV
V000170,M0021,2024-07-07,71,False,Tablet
V003623,M0054,2025-05-04,38,False,Mobile
V003094,M0039,2025-06-11,82,False,Web
V002575,M0014,2024-12-04,100,False,Web
V002382,M0046,2025-04-08,75,False,Tablet
V004615,M0002,2025-03-26,135,True,Mobile
V000180,M0029,2024-10-28,80,False,TV
V000168,M0025,2024-07-16,106,False,Tablet
V003475,M0059,2025-08-31,76,False,TV
V002205,M0015,2024-11-20,128,True,TV
V001296,M0031,2025-06-11,81,False,Web
V000298,M0055,2024-11-05,52,False,Web
V001301,M0006,2025-08-28,66,False,Mobile
V000650,M0017,2024-06-11,144,True,Tablet
V002402,M0010,2025-07-08,74,True,TV
V001524,M0056,2025-04-10,100,False,Web
V000548,M0034,2025-04-07,45,False,Mobile
V001442,M0037,2025-02-08,108,False,Tablet
V001376,M0058,2025-04-03,18,False,Web
V000632,M0039,2025-09-23,81,False,TV
V001465,M0053,2025-07-26,116,False,TV
V001466,M0047,2025-06-27,108,False,Web
V000072,M0016,2025-01-01,82,True,TV
V000170,M0033,2024-07-06,69,False,Mobile
V001106,M0026,2025-06-12,39,False,Web
V001084,M0055,2025-03-28,76,True,TV
V002288,M0037,2024-08-14,82,False,Web
V000901,M0046,2025-03-21,60,False,Mobile
V003092,M0005,2025-07-14,40,False,Tablet
V004014,M0034,2024-10-22,63,False,Tablet
V004302,M0057,2024-08-10,153,True,TV
V004961,M0051,2024-10-12,91,False,Tablet
V004122,M0011,2024-07-07,60,False,Mobile
V000602,M0014,2024-11-19,139,True,Mobile
V003379,M0039,2024-11-04,60,False,TV
V002577,M0002,2024-07-20,128,True,Mobile
V003568,M0014,2025-07-03,104,False,Web
V002474,M0042,2024-10-21,88,False,Mobile
V001861,M0058,2024-09-07,47,False,Tablet
V003811,M0030,2024-11-15,91,True,Tablet
V003407,M0009,2025-10-09,60,False,Web
V000830,M0058,2025-02-01,29,False,TV
V003167,M0030,2024-09-13,45,False,TV
V004199,M0023,2024-07-30,68,False,Tablet
V002888,M0005,2024-12-26,51,False,Web
V000830,M0001,2025-07-04,90,False,Mobile
V004174,M0002,2025-04-21,134,True,TV
V003673,M0002,2024-10-13,130,True,Tablet
V002676,M0023,2025-02-12,53,False,Mobile
V003592,M0057,2024-07-19,105,False,Mobile
V004490,M0043,2024-06-30,45,False,Web
V003096,M0060,2024-12-27,120,False,Tablet
V002189,M0047,2025-07-06,75,False,Web
V003145,M0006,2025-02-21,54,False,Mobile
V002482,M0003,2025-11-18,83,False,Web
V004664,M0027,2025-05-16,78,False,Web
V004482,M0028,2025-03-14,61,False,Web
V000543,M0001,2025-06-16,69,False,Tablet
V000542,M0051,2025-04-20,73,False,Web
V004043,M0060,2025-08-06,70,False,Tablet
V002808,M0052,2024-11-14,107,True,TV
V004576,M0037,2024-12-27,115,False,TV
V001275,M0034,2024-06-16,70,False,Web
V000183,M0015,2024-09-12,95,False,TV
V002463,M0033,2024-07-08,95,True,Tablet
V004848,M0004,2025-01-27,42,False,TV
V001213,M0007,2025-04-16,82,True,Web
V002038,M0057,2024-08-12,148,True,Mobile
V004442,M0045,2024-07-01,88,False,Tablet
V004642,M0027,2024-12-26,70,False,Web
V003942,M0011,2025-09-24,105,False,Mobile
V003326,M0028,2024-09-14,54,False,Tablet
V002735,M0002,2024-11-16,126,True,Web
V004030,M0032,2024-10-21,115,False,Tablet
V001927,M0028,2025-02-10,31,False,Web
V001305,M0022,2024-12-31,123,False,Mobile
V000673,M0007,2025-09-07,80,False,Mobile
